"Timestamp","Vilken åldersgrupp tillhör du?","Är du prenumerant hos DN?","Hur troligt är det att du tecknar paketet?","","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?"
"2021/03/22 10:49:27 am CET","Över 65 år","Ja (enbart digitalt)","3","Som pensionär måste jag vara försiktig med utgifter","1","1","3","3","2","1","1"
"2021/03/22 10:49:43 am CET","40-65 år","Nej och har aldrig varit","5","Vill ha billigaste som ger alla nyhetsartiklar + att alla i familjen kan läsa. helt ointresserad av erbjudanden, korsord.","1","1","3","4","1","1","3"
"2021/03/22 10:49:51 am CET","40-65 år","Ja (enbart digitalt)","5","Ger mig info och läsning som täcker det jag behöver","2","1","5","5","4","1","3"
"2021/03/22 10:50:03 am CET","30-39 år","Ja (enbart digitalt)","2","Lite dyrt","1","1","2","2","1","1","1"
"2021/03/22 10:50:14 am CET","Över 65 år","Ja (papperstidning)","4","Prisvärt jämfört med att ha papperstidnningen också.","3","1","1","4","4","4","2"
"2021/03/22 10:50:58 am CET","40-65 år","Ja (enbart digitalt)","5","Tycker att det är bra till det priset. ","3","1","4","5","1","1","5"
"2021/03/22 10:51:08 am CET","Över 65 år","Nej, men har varit förut","4","","5","5","5","5","5","5","5"
"2021/03/22 10:52:11 am CET","40-65 år","Ja (papperstidning)","2","Jag läser bara digitala upplagor om de inte finns i pappersformat","2","2","2","2","2","2","2"
"2021/03/22 10:52:17 am CET","30-39 år","Ja (enbart digitalt)","3","Inte intrresserad av korsord eller av rabatter via DN erbjudande","2","4","5","5","1","2","3"
"2021/03/22 10:52:19 am CET","Över 65 år","Ja (papperstidning)","2","För dyrt, för mycket annonsmaterial","1","1","1","1","1","1","1"
"2021/03/22 10:52:51 am CET","Under 30 år","Ja (enbart digitalt)","3","Vill ha e-tidningen","1","1","5","1","3","3","1"
"2021/03/22 10:55:03 am CET","40-65 år","Nej, men har varit förut","3","Verkar ganska bra, men fortfarande lite för dyrt ","1","2","3","3","2","1","2"
"2021/03/22 10:55:11 am CET","30-39 år","Ja (enbart digitalt)","3","Jag vill läsa tidningen, inte ha korsord, rabatter och annat.","1","1","4","3","3","1","1"
"2021/03/22 10:55:45 am CET","Över 65 år","Ja (enbart digitalt)","3","Ska kolla med mina söner om de är intresserade. I så fall tecknar jag erbjudandet.","1","1","3","3","1","1","2"
"2021/03/22 10:56:18 am CET","40-65 år","Nej, men har varit förut","5","Dn appen","1","1","4","3","2","1","3"
"2021/03/22 10:56:54 am CET","Över 65 år","Ja (enbart digitalt)","5","De delar som ingår är precis de jag behöver eller är intresserad av ","1","1","1","2","1","3","2"
"2021/03/22 10:57:32 am CET","30-39 år","Ja (enbart digitalt)","4","","1","1","5","4","3","1","2"
"2021/03/22 10:57:41 am CET","40-65 år","Ja (enbart digitalt)","2","dyrt","1","1","2","2","1","1","1"
"2021/03/22 10:58:02 am CET","40-65 år","Ja (papperstidning)","3","Jag har digitalt paket och papperstidningen fred.-sönd.","2","1","1","4","1","1","2"
"2021/03/22 10:58:05 am CET","30-39 år","Ja (enbart digitalt)","5","Det räcker gott för mig. Läser mest i appen. ","2","3","4","5","2","1","4"
"2021/03/22 10:58:31 am CET","40-65 år","Ja (papperstidning)","1","","1","1","1","1","1","1","1"
"2021/03/22 10:58:41 am CET","Över 65 år","Ja (enbart digitalt)","1","Har endast råd med digitalt. Fattigpensionär.","1","1","1","1","1","1","1"
"2021/03/22 10:58:41 am CET","40-65 år","Ja (papperstidning)","2","Jag är inte intresserad av enbart digital prenumeration. Jag vill även kunna läsa papperstidningen på helgerna.","2","1","3","4","2","2","3"
"2021/03/22 10:58:42 am CET","40-65 år","Ja (enbart digitalt)","5","","1","1","2","4","2","2","2"
"2021/03/22 10:58:51 am CET","40-65 år","Ja (enbart digitalt)","5","Bra heltäckande nyheter, intressanta artiklar.","1","1","5","5","1","1","1"
"2021/03/22 10:59:07 am CET","Över 65 år","Ja (papperstidning)","4","Läser gärna digitalt, men älskar papperstidning.","2","2","1","2","2","2","2"
"2021/03/22 10:59:27 am CET","Över 65 år","Ja (enbart digitalt)","1","har helt enkelt inte råd, jag är pensionär","1","1","3","3","1","1","1"
"2021/03/22 10:59:32 am CET","40-65 år","Ja (enbart digitalt)","4","Låter som ett bra paket","2","2","3","4","2","2","2"
"2021/03/22 10:59:32 am CET","Över 65 år","Ja (enbart digitalt)","2","Bra som dert är....","2","1","1","2","2","2","2"
"2021/03/22 11:00:10 am CET","40-65 år","Ja (papperstidning)","3","Lite dyrt erbjudande för att endast ha det digitalt","1","1","2","3","2","2","2"
"2021/03/22 11:00:16 am CET","Över 65 år","Ja (enbart digitalt)","5","Innehållet motsvarar priset","1","1","1","1","1","1","1"
"2021/03/22 11:00:37 am CET","40-65 år","Ja (enbart digitalt)","3","","1","1","3","3","1","1","1"
"2021/03/22 11:00:57 am CET","40-65 år","Ja (papperstidning)","2","Spontant ser det dyrt ut för en enbart digital prenumeration .","2","3","3","4","3","3","2"
"2021/03/22 11:01:56 am CET","Över 65 år","Ja (papperstidning)","3","Om jag måste ersätta min papperstidning så blir det detta alternativ.","2","1","2","2","2","1","1"
"2021/03/22 11:02:27 am CET","40-65 år","Ja (enbart digitalt)","5","Har paketet, tycker det är bra","2","3","2","5","3","3","3"
"2021/03/22 11:02:51 am CET","30-39 år","Ja (enbart digitalt)","5","Bra pris, både jag och min partner kan vara inloggade.","1","1","1","1","1","1","1"
"2021/03/22 11:02:55 am CET","40-65 år","Ja (papperstidning)","1","Har redan full  prenumeration","1","1","1","1","1","1","1"
"2021/03/22 11:02:56 am CET","Över 65 år","Ja (enbart digitalt)","5","Innehåller det jag behöver (och mer). Jag kan läsa vara jag än är.","1","1","5","5","2","1","1"
"2021/03/22 11:03:25 am CET","Över 65 år","Ja (enbart digitalt)","4","","2","2","3","4","3","3","2"
"2021/03/22 11:03:47 am CET","40-65 år","Nej och har aldrig varit","4","Allt jag behöver inkl tre extra konton","1","2","1","2","1","1","3"
"2021/03/22 11:03:53 am CET","30-39 år","Ja (enbart digitalt)","5","Tror det är det billigaste alternativet för DN. ","1","1","5","5","1","1","1"
"2021/03/22 11:04:29 am CET","Över 65 år","Ja (enbart digitalt)","5","Det har allt jag behöver, Nyheter, möjlighet att söka i arkiv och korsord. Rabatterna är ett litet plus.","3","1","3","4","1","3","4"
"2021/03/22 11:05:17 am CET","40-65 år","Ja (enbart digitalt)","4","Jag tycker att det är en stor fördel med digital tidning.  Både för innehållet och för att slippa all pappersåtervinning","1","1","4","4","1","1","1"
"2021/03/22 11:05:34 am CET","30-39 år","Nej, men har varit förut","1","Anser att massmedia har antagit en allt för opinionsbildande funktion framför informationsspridning. Vill inte gynna denna utveckling","1","1","1","1","1","1","1"
"2021/03/22 11:07:30 am CET","40-65 år","Ja (enbart digitalt)","4","Alla artiklar och arkiv plus 3 konton- rimligt pris","1","1","1","3","1","1","2"
"2021/03/22 11:07:30 am CET","Över 65 år","Nej, men har varit förut","3","Mer kulur och litteratur ","1","1","5","4","1","1","1"
"2021/03/22 11:08:42 am CET","Över 65 år","Ja (enbart digitalt)","3","Kort och gott dagens nyhete","2","2","4","3","3","2","3"
"2021/03/22 11:08:49 am CET","40-65 år","Ja (enbart digitalt)","2","Jag värdesätter E-tidningens presentation. ","2","2","2","2","5","3","5"
"2021/03/22 11:08:52 am CET","30-39 år","Nej, men har varit förut","3","","1","1","3","1","1","1","1"
"2021/03/22 11:08:55 am CET","40-65 år","Ja (enbart digitalt)","5","Verkar prisvärt","1","1","4","3","1","1","1"
"2021/03/22 11:08:55 am CET","Över 65 år","Ja (papperstidning)","1","Jag vill ha papperstidningen kombinerat med digital läsning.","1","1","1","1","1","1","1"
"2021/03/22 11:08:56 am CET","Över 65 år","Ja (papperstidning)","3","","4","4","1","1","2","3","2"
"2021/03/22 11:10:31 am CET","40-65 år","Ja (enbart digitalt)","4","Svårt att bedöma när man redan prenumererar digitalt. ","3","1","4","3","3","2","4"
"2021/03/22 11:10:59 am CET","Över 65 år","Ja (enbart digitalt)","1","Jag saknar E-DN","3","1","4","1","3","4","4"
"2021/03/22 11:11:25 am CET","Över 65 år","Ja (enbart digitalt)","2","För att jag köpte digital med rabatt, då är det värt. Men 119 utan att ha till till E-tidningen är inte värt priset ","1","1","3","1","1","1","1"
"2021/03/22 11:11:29 am CET","30-39 år","Ja (enbart digitalt)","2","För dyrt sett till vad jag är intresserad av. Jag vill kunna läsa artiklar på sajten, inget mer. DN Erbjudanden, korsord, nyhetsarkiv eller extra konton intresserar mig inte. Så det känns som att jag tvingas betala pengar för funktioner jag inte tänker utnyttja. ","1","1","2","2","1","1","1"
"2021/03/22 11:12:46 am CET","Över 65 år","Ja (enbart digitalt)","5","Jag tycker det är fördelaktigt pris o innehåll. Har prenumererat på papperstidningen se","2","2","4","2","2","1","2"
"2021/03/22 11:13:49 am CET","40-65 år","Ja (enbart digitalt)","5","Bra pris för en utmärkt tidning. ","2","2","5","5","3","2","3"
"2021/03/22 11:13:53 am CET","40-65 år","Nej och har aldrig varit","2","","1","1","2","2","1","1","1"
"2021/03/22 11:14:36 am CET","Över 65 år","Ja (enbart digitalt)","2","för dyrt","1","1","2","2","1","1","1"
"2021/03/22 11:15:23 am CET","40-65 år","Ja (enbart digitalt)","4","","1","1","2","3","2","1","2"
"2021/03/22 11:15:23 am CET","40-65 år","Ja (enbart digitalt)","2","hög kostnad i förhållande till det som finns fritt i olika tidningar","1","1","2","2","1","1","1"
"2021/03/22 11:16:29 am CET","Över 65 år","Ja (enbart digitalt)","5","Kan läsa tidningen överallt","2","2","5","5","2","2","2"
"2021/03/22 11:16:37 am CET","Över 65 år","Ja (enbart digitalt)","3","Jag är irriterad på att jag ständigt måste ange min inloggningsuppgift vilket har fått mig att fundera på om jag ska lägga ner min prenumeration. Därför 3.","1","3","4","3","2","3","3"
"2021/03/22 11:16:57 am CET","Över 65 år","Ja (papperstidning)","2","Vill HELST läsa papperstidning. ","1","1","1","1","1","1","1"
"2021/03/22 11:17:00 am CET","Över 65 år","Nej, men har varit förut","3","Ofullständig rikstäckning.","2","2","4","3","2","2","2"
"2021/03/22 11:17:47 am CET","40-65 år","Ja (enbart digitalt)","4","Rabatter via DN erbjudanden är inte intressant. ","4","1","5","2","3","2","4"
"2021/03/22 11:18:00 am CET","40-65 år","Ja (enbart digitalt)","5","Priset är bra i jämförelse och jag får det jag behöver","1","1","5","5","1","1","1"
"2021/03/22 11:19:08 am CET","40-65 år","Ja (enbart digitalt)","5","Bra journalistik för pengarna ","1","1","5","5","1","1","1"
"2021/03/22 11:19:25 am CET","40-65 år","Ja (enbart digitalt)","4","Jag gillar DN och priset kändes RIMLIGT. ","2","1","4","5","3","1","1"
"2021/03/22 11:20:24 am CET","Över 65 år","Ja (papperstidning)","4","ganska fullödigt","2","2","1","2","2","1","2"
"2021/03/22 11:20:25 am CET","30-39 år","Ja (enbart digitalt)","4","Det är paketet jag använder idag. Vill ha tillgång till kvalitativ svensk press","1","1","4","4","1","1","1"
"2021/03/22 11:20:26 am CET","Under 30 år","Ja (enbart digitalt)","2","","1","1","2","2","1","1","1"
"2021/03/22 11:21:33 am CET","30-39 år","Ja (enbart digitalt)","3","","1","1","5","3","1","1","1"
"2021/03/22 11:23:11 am CET","Över 65 år","Ja (enbart digitalt)","4","","4","1","4","1","4","2","2"
"2021/03/22 11:23:40 am CET","40-65 år","Ja (papperstidning)","1","Föredrar papperstidning","1","1","1","1","1","1","1"
"2021/03/22 11:25:23 am CET","Över 65 år","Ja (papperstidning)","2","","3","3","3","2","2","2","3"
"2021/03/22 11:25:50 am CET","Över 65 år","Ja (enbart digitalt)","1","","1","1","1","1","1","1","1"
"2021/03/22 11:28:52 am CET","40-65 år","Ja (papperstidning)","5","Att det innehåller alla artikler, arkiv och extra konton. Blev även interesseret av digitala korsord.","5","1","5","5","2","3","5"
"2021/03/22 11:31:01 am CET","40-65 år","Ja (enbart digitalt)","5","","2","2","5","5","3","1","3"
"2021/03/22 11:32:13 am CET","Över 65 år","Ja (papperstidning)","3","Ganska dyrt för digital pren.","1","1","3","2","1","1","1"
"2021/03/22 11:33:20 am CET","40-65 år","Ja (enbart digitalt)","5","För att tre extra konton ingår. Jag vill gärna att mitt barn oxå ska kunna ta del av läsningen. ","1","1","5","5","1","1","2"
"2021/03/22 11:36:49 am CET","40-65 år","Nej och har aldrig varit","1","för dyrt","1","1","1","1","1","1","1"
"2021/03/22 11:37:39 am CET","30-39 år","Ja (enbart digitalt)","5","Räcker för mina behov. ","2","1","5","5","2","1","2"
"2021/03/22 11:37:59 am CET","30-39 år","Ja (enbart digitalt)","5","Innehåller allt jag är intresserad av (primärt artiklar, sekundärt arkiv).","1","1","4","4","1","1","1"
"2021/03/22 11:38:15 am CET","Under 30 år","Ja (enbart digitalt)","1","","1","1","5","1","1","1","1"
"2021/03/22 11:38:42 am CET","Över 65 år","Ja (enbart digitalt)","5","Tillgång till nyhetsarkiv och extra konton","1","1","3","1","1","1","1"
"2021/03/22 11:38:58 am CET","40-65 år","Ja (enbart digitalt)","5","Bra pris för det innehåll jag vill ha","2","2","3","2","3","2","3"
"2021/03/22 11:39:14 am CET","40-65 år","Ja (papperstidning)","3","Innehållet är ok, men vill ha tidningen. Kanske skräddarsy mot lägre pris? Behöver t.ex. inte korsord.","1","1","4","4","2","1","2"
"2021/03/22 11:39:19 am CET","40-65 år","Ja (enbart digitalt)","4","","2","2","3","4","2","2","3"
"2021/03/22 11:39:38 am CET","Över 65 år","Ja (papperstidning)","3","Jag har redan prenumeration på papperstidning. Vill nog ha kvar den ett tag till. (svårt lära gamla hundar ...  nytt)ng","2","2","1","2","2","3","3"
"2021/03/22 11:39:55 am CET","40-65 år","Ja (enbart digitalt)","3","Priset","2","1","2","3","1","1","2"
"2021/03/22 11:40:48 am CET","Över 65 år","Ja (enbart digitalt)","5","Helt nöjd med utbudet","1","1","1","4","1","1","2"
"2021/03/22 11:41:12 am CET","40-65 år","Ja (enbart digitalt)","5","Allt jag behöver till ett ok pris","1","2","1","4","1","1","3"
"2021/03/22 11:41:19 am CET","40-65 år","Ja (enbart digitalt)","1","Jag vill läsa hela tidningen som den sur ut på papper.","2","1","5","1","3","2","1"
"2021/03/22 11:41:31 am CET","40-65 år","Ja (enbart digitalt)","3","Verka ok men lite dyrare än min nuvarande prenumeration ","1","1","3","3","2","1","2"
"2021/03/22 11:41:37 am CET","Över 65 år","Ja (enbart digitalt)","1","E-tidningen ingår ej","1","1","4","1","4","1","5"
"2021/03/22 11:41:50 am CET","40-65 år","Ja (papperstidning)","3","Mycket rörig enkät. Denna första frågan är enkelt. ett alt med förklaring vad dom ingår. Följande sida har 7 paket men alla heter nästan lika.","1","1","3","3","2","1","1"
"2021/03/22 11:43:25 am CET","40-65 år","Nej och har aldrig varit","1","Oseriös ledarstil i pandemin.","1","1","1","1","1","1","1"
"2021/03/22 11:43:30 am CET","40-65 år","Ja (papperstidning)","1","Gillar inte att det är så mycket reklam trots att man betalar för tjänsten.","1","1","1","1","1","1","1"
"2021/03/22 11:43:45 am CET","30-39 år","Ja (enbart digitalt)","3","","1","1","2","3","2","1","2"
"2021/03/22 11:45:09 am CET","40-65 år","Ja (enbart digitalt)","5","har det idag","1","1","3","5","1","1","1"
"2021/03/22 11:46:44 am CET","40-65 år","Ja (enbart digitalt)","5","Billigt, täcker alla mina behov.","1","1","5","5","1","1","1"
"2021/03/22 11:47:26 am CET","40-65 år","Ja (papperstidning)","3","","1","1","3","3","2","1","2"
"2021/03/22 11:48:14 am CET","30-39 år","Ja (enbart digitalt)","4","Jag tänker att jag hellre skulle betala 99 kronor och vara utan korsord :)","1","1","4","4","2","1","1"
"2021/03/22 11:48:42 am CET","Över 65 år","Ja (enbart digitalt)","5","Passar mina intresseområden först och främst","1","1","4","4","1","1","2"
"2021/03/22 11:49:04 am CET","Över 65 år","Ja (papperstidning)","2","Jag får min sista papperstidning nästa vecka, men vill ha e-DN också.","2","2","2","2","2","2","5"
"2021/03/22 11:50:42 am CET","Över 65 år","Nej, men har varit förut","2","","1","1","3","3","1","1","1"
"2021/03/22 11:50:51 am CET","40-65 år","Ja (enbart digitalt)","5","Har redan detta","1","1","5","5","1","1","1"
"2021/03/22 11:51:15 am CET","Över 65 år","Ja (enbart digitalt)","5","","1","1","4","3","1","2","1"
"2021/03/22 11:52:03 am CET","40-65 år","Ja (enbart digitalt)","4","De tre extra kontona gör det väldigt prisvärt.","2","1","4","4","2","1","3"
"2021/03/22 11:52:04 am CET","Över 65 år","Ja (enbart digitalt)","4","Garanterad utdelning tidigt","3","3","3","3","3","3","3"
"2021/03/22 11:52:17 am CET","40-65 år","Ja (papperstidning)","4","Bra pris, bra tidning","1","1","4","4","3","1","3"
"2021/03/22 11:52:58 am CET","40-65 år","Ja (papperstidning)","4","Bra pris, bra tidning","1","1","4","4","3","1","3"
"2021/03/22 11:53:09 am CET","40-65 år","Ja (enbart digitalt)","4","","2","2","3","4","3","2","3"
"2021/03/22 11:53:16 am CET","Över 65 år","Ja (enbart digitalt)","1","Saknar innehåll för mig","1","1","1","1","1","1","1"
"2021/03/22 11:53:39 am CET","40-65 år","Ja (enbart digitalt)","2","När jag har en prenumeration lägger jag för mycket tid på att scrolla DN ;-) Utan prenumeration kan jag bara kolla rubriker och fastnar inte med läsning när jag borde fokusera på annat. ","1","1","3","3","1","1","1"
"2021/03/22 11:54:10 am CET","Över 65 år","Ja (papperstidning)","1","","1","1","2","2","1","1","1"
"2021/03/22 11:55:17 am CET","Över 65 år","Nej och har aldrig varit","1","För dyrt","1","1","1","1","1","1","1"
"2021/03/22 11:55:20 am CET","30-39 år","Ja (enbart digitalt)","4","Rimligt pris för bra tidning ","1","1","5","5","2","1","3"
"2021/03/22 11:55:43 am CET","40-65 år","Ja (enbart digitalt)","3","Pris o tillgänglighet ","2","4","3","3","1","2","3"
"2021/03/22 11:56:10 am CET","40-65 år","Ja (enbart digitalt)","4","Rimligt prissatt. Det enda som är förvirrande är om en digital variant av pappers-DN ingår.","1","1","5","4","3","1","2"
"2021/03/22 11:56:13 am CET","Över 65 år","Ja (enbart digitalt)","1","Som pensionär är min ekonomi inte tillräckligt stark för att betala det här priset.","1","1","1","1","1","1","1"
"2021/03/22 11:57:21 am CET","Över 65 år","Nej, men har varit förut","4","Bra pris och komplett innehåll. ","2","2","4","4","3","2","2"
"2021/03/22 11:57:32 am CET","40-65 år","Ja (enbart digitalt)","1","dyrt","1","1","1","1","1","1","1"
"2021/03/22 11:58:40 am CET","Över 65 år","Ja (enbart digitalt)","4","Ge er bra bild av vad som händer i Sverige och Världen , dock inte Brasilien )-:","1","1","5","5","2","1","1"
"2021/03/22 12:00:39 pm CET","Över 65 år","Ja (papperstidning)","2","Jag vill ha papperstidning. Min fru skulle kanske överväga det här.","1","1","2","1","2","2","1"
"2021/03/22 12:01:24 pm CET","30-39 år","Ja (papperstidning)","1","Ingen papperstidning","1","1","1","1","1","1","1"
"2021/03/22 12:02:34 pm CET","Över 65 år","Ja (enbart digitalt)","4","Det är vad jag behöver, lite för mycket kanske.","1","1","4","4","1","1","1"
"2021/03/22 12:02:53 pm CET","Över 65 år","Ja (papperstidning)","5","Besvarar mina frågor och ökar min kunskap","5","1","1","1","1","1","1"
"2021/03/22 12:03:16 pm CET","40-65 år","Ja (papperstidning)","4","Innehåller allt jag behöver och är intresserad av (och mer därtill).","2","2","4","2","4","1","2"
"2021/03/22 12:03:31 pm CET","Över 65 år","Ja (enbart digitalt)","5","Jag har ett dyrare idag","2","1","4","1","4","2","1"
"2021/03/22 12:03:56 pm CET","Över 65 år","Ja (papperstidning)","5","Kan inte vara utan DN såväl i pappersform som digitalt.","3","4","4","3","4","3","3"
"2021/03/22 12:04:09 pm CET","40-65 år","Ja (enbart digitalt)","5","Det är vad jag är intresserad av. Framför allt intresserad av att få tillgång till artiklar.","1","1","5","5","1","1","1"
"2021/03/22 12:04:28 pm CET","40-65 år","Ja (enbart digitalt)","1","","5","1","1","1","1","1","1"
"2021/03/22 12:05:36 pm CET","Över 65 år","Ja (enbart digitalt)","4","Perfekt utbud över det jag anser mig behöva","1","1","1","2","1","1","1"
"2021/03/22 12:06:35 pm CET","40-65 år","Ja (enbart digitalt)","5","","1","1","1","2","1","1","3"
"2021/03/22 12:07:01 pm CET","Över 65 år","Ja (enbart digitalt)","3","Ganska bra pris men jag är ointresserad av korsord och rabatter","2","2","5","3","2","2","2"
"2021/03/22 12:08:17 pm CET","30-39 år","Ja (enbart digitalt)","5","Rimligt pris för att få läsa alla artiklar","2","2","5","5","2","2","2"
"2021/03/22 12:08:30 pm CET","40-65 år","Ja (enbart digitalt)","4","Bra journalistiskt innehåll för ett vettigt pris. Däremot är den ideologiska styrningen sådan att jag tvekar.","1","1","4","4","1","1","2"
"2021/03/22 12:09:12 pm CET","40-65 år","Ja (enbart digitalt)","5","Jag är redan digital prenumerant.","1","1","2","5","2","1","2"
"2021/03/22 12:10:37 pm CET","Över 65 år","Ja (enbart digitalt)","3","","1","1","2","2","2","2","1"
"2021/03/22 12:11:49 pm CET","40-65 år","Ja (enbart digitalt)","4","Det jag behöver, men lite dyrt","1","1","4","4","1","1","1"
